lambda	n2-gold(J&C)	k2-gold(J&C)	n1-Si	k1-Si
972	0.213	6.264	1.450660563	0
973	0.214	6.271	1.45064507	0
974	0.214	6.278	1.450629577	0
975	0.215	6.285	1.450614085	0
976	0.216	6.292	1.450598592	0
977	0.216	6.299	1.450583099	0
978	0.217	6.306	1.450567606	0
979	0.217	6.313	1.450552113	0
980	0.218	6.32	1.45053662	0
981	0.219	6.328	1.450521127	0
982	0.219	6.336	1.450505634	0
983	0.22	6.344	1.450490141	0
984	0.221	6.352	1.450474648	0
985	0.221	6.36	1.450459155	0
986	0.222	6.368	1.450443662	0
987	0.222	6.376	1.450428169	0
988	0.223	6.384	1.450412676	0
989	0.223	6.392	1.450397183	0
990	0.224	6.4	1.45038169	0
991	0.225	6.407	1.450366197	0
992	0.225	6.415	1.450350704	0
993	0.225	6.422	1.450335211	0
994	0.226	6.429	1.450319718	0
995	0.226	6.436	1.450304225	0
996	0.227	6.443	1.450288732	0
997	0.227	6.45	1.450273239	0
998	0.227	6.457	1.450257746	0
999	0.228	6.463	1.450242254	0
1000	0.228	6.47	1.450226761	0
